"Refs","Value","Footprint","Qty"
"C1,C2,C4","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","3"
"C3","0.1uF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","1"
"D5-D20","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","16"
"F1","PTC_0.5A","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1"
"IC1","7413","Package_DIP:DIP-14_W7.62mm","1"
"IC2","7472","Package_DIP:DIP-14_W7.62mm","1"
"IC3,IC4","7490","Package_DIP:DIP-14_W7.62mm","2"
"IC5,IC6","7447","Package_DIP:DIP-16_W7.62mm","2"
"IC9","7425","Package_DIP:DIP-14_W7.62mm","1"
"IC10","7480","Package_DIP:DIP-14_W7.62mm","1"
"IC11","7412","Package_DIP:DIP-14_W7.62mm","1"
"PWR1","POWER_JST_PH3","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","1"
"R1","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R2,R8-R10","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4"
"R3","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R4,R5","2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2"
"R6","150k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R7","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"R11-R24","270","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","14"
"R25-R30","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","6"
"S1","SPDT","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","1"
"S3a1,S3b1,S4a1,S4b1,S5a1,S5b1,S5c1,S6a1,S6b1,S6c1,S6d1","SPDT","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","11"
"TENS1","TENS_DISP_SOCKET","Package_DIP:DIP-14_W7.62mm","1"
"TR1-TR3","2N2926","Package_TO_SOT_THT:TO-92_Inline","3"
"TR4","2N2646","Package_TO_SOT_THT:TO-18-3","1"
"UNITS1","UNITS_DISP_SOCKET","Package_DIP:DIP-14_W7.62mm","1"
"Z1","1N4733A_5.1V","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1"
